x0,x1,x2,x3,y,x4,x5
A12,19.0,A1,A50,0.47,0.32,0.0
A12,17.0,A11,A51,0.05,0.03,0.0
A12,21.0,A0,A18,0.1,0.07,0.0
A21,6.0,A6,A1,0.15,0.0,2.05
A2,30.0,A8,A52,0.13,0.02,0.0
A4,27.0,A11,A15,0.14,0.02,0.0
A2,30.0,A1,A11,0.11,0.02,0.0
A0,24.0,A1,A43,0.44,0.16,0.0
A12,18.0,A9,A53,0.0,0.0,0.09
A1,24.0,A4,A18,0.13,0.15,0.0
A0,23.0,A9,A54,0.01,0.0,0.0
A6,23.0,A1,A15,0.08,0.02,0.0
A15,23.0,A9,A21,0.02,0.01,0.0
A6,25.0,A7,A31,0.05,0.01,0.0
A13,31.0,A0,A55,0.02,0.0,0.0
A9,34.0,A5,A48,0.03,0.01,0.0
A12,16.0,A4,A56,0.3,0.21,0.0
A15,24.0,A1,A12,0.65,0.17,0.0
A14,35.0,A1,A11,0.32,0.42,0.01
A6,,A6,A7,0.31,0.04,0.0
A12,19.0,A4,A18,0.0,0.0,1.0
A20,16.0,A3,A10,0.0,0.0,0.35
,,A11,A35,0.02,0.0,0.0
A16,20.0,A0,A34,1.04,0.72,0.3
A11,24.0,A11,A43,0.0,0.01,0.0
A3,27.0,A3,A18,0.0,0.0,0.06
A11,26.0,A8,A31,0.01,0.03,0.0
A3,21.0,A1,A57,0.0,0.0,0.04
A3,27.0,A6,A5,0.05,0.0,0.64
A2,28.0,A7,A12,0.07,0.0,0.0
A6,23.0,A8,A7,0.4,0.14,0.0
A5,35.0,A1,A13,0.0,0.0,0.02
A6,24.0,A4,A15,0.1,0.03,0.0
A11,21.0,A8,A4,0.0,0.04,0.0
A2,29.0,A8,A52,0.13,0.0,0.0
A13,30.0,A4,A8,0.46,0.02,0.0
A20,17.0,A5,A58,0.0,0.0,0.26
A3,29.0,A6,A7,0.28,0.22,0.0
A11,31.0,A5,A17,1.15,2.09,0.0
A22,36.0,A11,A10,0.01,0.0,0.0
A13,29.0,A1,A59,0.05,0.0,0.0
A6,26.0,A3,A7,0.26,0.06,0.0
A0,24.0,A1,A34,0.89,0.22,0.22
A1,28.0,A6,A7,0.07,0.19,0.0
A11,22.0,A10,A43,1.19,0.05,0.0
A2,27.0,A5,A25,0.16,0.0,0.06
A11,28.0,A5,A60,0.0,0.02,0.0
A13,30.0,A10,A1,0.0,0.0,0.15
A14,35.0,A3,A22,0.09,0.13,0.08
A3,28.0,A4,A61,0.09,0.07,0.0
A0,22.0,A3,A43,0.2,0.07,0.0
A13,30.0,A3,A62,0.0,0.0,0.06
A0,26.0,A1,A63,0.01,0.0,0.0
A12,20.0,A0,A18,1.93,1.58,0.0
A3,20.0,A5,A24,0.15,0.12,0.0
A18,33.0,A6,A14,0.0,0.02,0.0
A11,34.0,A11,A24,0.14,0.23,0.0
A2,29.0,A8,A37,0.07,0.0,0.0
A6,25.0,A1,A2,0.08,0.02,0.0
A4,29.0,A9,A24,0.14,0.09,0.0
A9,30.0,A5,A17,1.52,1.08,0.1
A12,20.0,A4,A64,0.1,0.07,0.0
A0,22.0,A6,A39,0.1,0.04,0.0
A2,29.0,A7,A5,0.1,0.0,0.0
A21,5.0,A2,A34,0.73,0.16,0.4
A20,18.0,A6,A39,0.0,0.0,0.12
A2,27.0,A8,A7,1.59,1.61,0.08
A11,30.0,A5,A39,0.0,0.03,0.0
,30.0,A10,A60,0.0,0.02,0.0
A13,29.0,A1,A1,0.13,0.03,0.03
A9,29.0,A11,A65,0.07,0.01,0.0
A13,27.0,A8,A1,0.0,0.0,0.11
A13,30.0,A1,A39,0.15,0.15,0.0
A3,26.0,A1,A39,0.0,0.0,0.02
A1,32.0,A7,A14,0.0,0.0,0.02
A13,29.0,A1,A1,0.17,0.0,0.0
A12,18.0,A9,A66,0.19,0.13,0.0
A13,29.0,A9,A5,0.09,0.01,0.0
A6,26.0,A6,A7,0.02,0.01,0.0
A20,15.0,A4,A39,0.0,0.0,0.04
A14,35.0,A1,A24,0.13,0.1,0.0
A7,14.0,A6,A67,0.0,0.0,0.37
A11,35.0,A10,A35,0.0,0.01,0.0
A1,26.0,A4,A18,0.0,0.0,0.02
A3,20.0,A10,A22,0.08,0.06,0.16
A4,28.0,A6,A5,0.13,0.76,0.03
A3,29.0,A5,A24,0.23,0.02,0.0
A4,26.0,A9,A24,0.1,0.01,0.0
A0,22.0,A0,A68,0.02,0.01,0.0
A11,27.0,A1,A2,0.0,0.03,0.0
A9,34.0,A5,A1,0.4,0.36,0.4
A0,22.0,A5,A69,0.18,0.07,0.0
A8,32.0,A8,A5,0.0,0.0,0.19
A11,34.0,A5,A17,0.32,0.48,0.0
A15,26.0,A1,A15,0.04,0.01,0.0
A12,,A7,A44,0.0,0.0,-3.18175473132578
A4,34.0,A3,A1,0.04,0.01,0.0
A3,20.0,A10,A7,0.27,0.21,0.41
A13,30.0,A4,A15,2.67,1.35,0.01
A5,33.0,A11,A70,0.25,0.49,0.04
A2,28.0,A7,A1,0.0,0.0,0.04
A3,24.0,A11,A54,0.05,0.04,0.0
A12,20.0,A5,A10,0.11,0.08,0.34
A1,25.0,A6,A18,0.1,0.63,0.0
A3,25.0,A7,A31,0.06,0.05,0.0
A3,23.0,A0,A39,1.04,1.37,0.06
A3,27.0,A2,A14,0.06,0.05,0.0
A0,22.0,A0,A1,0.02,0.01,0.0
A1,27.0,A2,A3,0.02,0.0,0.0
A9,27.0,A4,A18,0.28,0.0,0.02
A2,31.0,A1,A1,0.0,0.0,0.12
A2,26.0,A5,A34,0.0,0.01,0.24
A13,30.0,A4,A71,0.0,0.19,0.0
A8,31.0,A1,A24,0.08,0.03,0.0
A5,35.0,A1,A72,0.01,0.0,0.04
A9,28.0,A6,A18,0.14,0.0,0.0
A4,28.0,A1,A22,0.65,0.22,0.05
A0,24.0,A7,A34,0.6,0.22,0.0
A9,26.0,A11,A24,0.6,0.63,0.03
A2,27.0,A4,A34,0.0,0.0,0.73
,36.0,A0,A7,0.08,0.05,0.0
A2,30.0,A5,A73,0.0,0.0,0.54
A4,29.0,A1,A74,0.14,0.02,0.0
A4,30.0,A6,A58,0.27,0.04,0.0
A3,27.0,A3,A75,0.0,0.0,0.02
,24.0,A3,A10,0.11,0.03,0.0
A2,27.0,A4,A1,0.0,0.0,0.12
A10,19.0,A6,A7,0.42,0.02,0.0
A9,31.0,A9,A12,0.24,0.15,0.0
A3,22.0,A6,A39,0.06,0.05,0.0
A2,29.0,A1,A2,0.17,0.15,0.0
A9,32.0,A9,A65,0.12,0.64,0.05
A15,26.0,A6,A31,0.13,0.03,0.0
A1,29.0,A1,A5,0.0,0.0,0.04
A13,28.0,A6,A5,0.12,0.0,0.01
A3,24.0,A3,A43,0.23,0.18,0.0
A5,34.0,A1,A11,0.09,0.29,0.0
A7,13.0,A1,A10,0.39,0.12,0.49
,22.0,A6,A39,0.13,0.04,0.0
A4,31.0,A3,A37,0.1,0.02,0.0
A20,14.0,A6,A39,0.0,0.0,0.3
A12,16.0,A6,A21,0.12,0.08,0.0
A14,35.0,A1,A10,0.12,0.13,0.0
A15,22.0,A0,A76,0.13,0.03,0.0
A1,31.0,A7,A77,0.0,0.0,0.14
A1,33.0,A1,A77,0.0,0.0,0.12
A2,30.0,A4,A34,0.0,0.0,0.02
A7,14.0,A6,A21,1.19,0.16,0.0
A8,32.0,A1,A7,0.06,0.2,0.0
A15,,A6,A35,0.03,0.01,0.0
A12,18.0,A1,A78,0.13,0.09,0.0
A23,14.0,A3,A21,1.03,0.27,0.0
A3,24.0,A5,A79,0.63,0.49,0.0
A3,29.0,A4,A80,0.1,0.08,0.0
A9,30.0,A6,A18,2.12,1.14,0.1
A2,29.0,A7,A24,0.67,0.01,0.0
A2,31.0,A4,A1,0.0,0.0,0.15
A13,30.0,A1,A63,0.08,0.0,0.0
A11,33.0,A1,A11,0.13,0.16,0.0
A2,29.0,A1,A14,0.04,0.0,0.0
A2,25.0,A2,A15,0.1,0.02,0.03
A10,18.0,A6,A21,0.07,0.01,0.0
A3,20.0,A1,A1,0.24,0.19,0.75
A3,22.0,A6,A5,0.13,0.1,0.0
A12,19.0,A9,A7,0.59,0.4,0.0
A13,28.0,A8,A37,0.48,0.0,0.0
A3,28.0,A7,A14,0.0,0.0,0.03
A24,20.0,A5,A81,0.0,0.0,0.51
A3,24.0,A6,A18,0.36,0.01,0.0
A7,14.0,A5,A81,0.86,0.0,2.55
A3,25.0,A4,A18,0.15,0.12,0.0
A2,27.0,A2,A82,0.77,0.0,0.0
A0,26.0,A5,A34,0.0,0.0,0.28
A2,27.0,A7,A5,0.0,0.0,0.05
A9,30.0,A1,A31,0.5,0.72,0.04
A9,34.0,A1,A22,0.02,0.02,0.06
A0,24.0,A9,A7,0.31,0.12,0.0
A0,21.0,A10,A34,0.5,0.19,0.0
A8,35.0,A5,A83,0.09,0.01,0.12
A6,25.0,A6,A31,0.07,0.02,0.0
A2,26.0,A6,A84,0.03,0.0,0.0
A2,28.0,A1,A24,1.42,0.61,0.0
A5,35.0,A1,A10,0.01,0.05,0.06
A14,36.0,A1,A1,0.0,0.0,0.01
A9,31.0,A7,A15,0.07,0.04,0.0
A13,29.0,A9,A24,0.29,0.16,0.0
A1,29.0,A5,A1,0.0,0.0,0.11
A9,34.0,A7,A28,0.03,0.08,0.0
A10,19.0,A6,A15,0.04,0.01,0.0
,31.0,A2,A35,0.03,0.0,0.0
A3,27.0,A1,A1,0.0,0.0,0.08
A3,22.0,A7,A5,0.0,0.0,0.08
A1,27.0,A6,A1,0.01,0.01,0.01
A9,28.0,A11,A33,0.05,0.01,0.0
A10,20.0,A2,A46,0.02,0.0,0.0
A11,34.0,A6,A7,0.0,0.27,0.0
A5,33.0,A0,A70,0.16,0.06,0.0
A3,23.0,A5,A18,0.18,0.14,0.0
A2,32.0,A1,A8,0.0,0.02,0.0
A14,33.0,A6,A7,0.14,0.05,0.0
A8,35.0,A1,A34,0.0,0.01,0.08
A8,31.0,A1,A34,0.0,0.01,0.0
A13,31.0,A1,A8,0.36,0.19,0.0
A10,,A6,A1,0.0,0.0,0.17
A12,16.0,A1,A21,0.02,0.01,0.0
A4,30.0,A1,A8,0.24,0.05,0.0
A1,28.0,A0,A18,0.33,0.22,0.0
A11,31.0,A7,A85,0.02,0.05,0.0
A12,20.0,A3,A12,1.76,1.21,0.07
A14,36.0,A11,A10,0.05,0.0,0.0
A12,18.0,A3,A24,0.27,0.18,0.0
A0,24.0,A6,A5,0.0,0.0,0.14
A1,26.0,A1,A31,0.18,0.0,0.0
A13,30.0,A6,A86,0.17,0.0,0.0
A10,18.0,A11,A78,0.15,0.04,0.0
A3,22.0,A4,A24,0.25,0.19,0.0
A3,26.0,A1,A22,0.02,0.02,0.57
A1,31.0,A3,A12,0.12,0.04,0.0
A20,16.0,A0,A39,0.0,0.0,0.43
A12,19.0,A11,A18,2.03,0.72,0.02
A3,27.0,A1,A24,0.63,0.37,0.0
,28.0,A1,A24,0.17,0.0,0.0
A6,23.0,A9,A21,0.18,0.05,0.0
A2,25.0,A6,A7,0.11,0.0,0.0
A3,24.0,A11,A87,0.01,0.01,0.0
A1,33.0,A4,A14,0.0,0.0,0.02
A22,36.0,A11,A24,0.52,0.25,0.0
A8,31.0,A8,A63,0.12,0.0,0.0
A6,23.0,A6,A39,0.08,0.02,0.0
A2,26.0,A1,A15,0.08,0.01,0.0
A9,33.0,A5,A29,0.9,0.37,0.25
A2,29.0,A8,A39,0.01,0.0,0.0
,35.0,A1,A73,0.0,0.0,2.28
A11,29.0,A7,A88,0.0,0.01,0.0
A6,25.0,A1,A68,0.01,0.0,0.0
A3,25.0,A5,A29,2.2,0.58,1.38
A9,29.0,A5,A33,0.36,0.12,0.03
A1,29.0,A10,A83,0.0,0.0,0.01
A9,30.0,A9,A7,1.05,1.25,0.03
A2,30.0,A0,A10,0.21,0.02,0.11
,20.0,A5,A12,0.25,0.2,0.0
A4,30.0,A6,A7,0.28,0.2,0.0
A15,22.0,A9,A54,0.02,0.0,0.0
A9,,A4,A35,0.25,0.0,0.0
A2,30.0,A4,A34,0.0,0.02,0.0
A2,27.0,A2,A89,0.05,0.0,0.0
A3,29.0,A4,A24,0.17,0.13,0.0
A9,28.0,A6,A7,0.29,0.02,0.0
,29.0,A1,A12,0.08,0.12,0.0
A2,27.0,A0,A12,0.08,0.0,0.0
A12,20.0,A1,A50,0.09,0.06,0.0
A0,21.0,A10,A34,0.0,0.0,0.1
A11,30.0,A5,A7,0.0,0.03,0.0
A15,22.0,A11,A21,0.3,0.08,0.0
A9,30.0,A4,A18,0.0,0.08,0.0
A1,27.0,A10,A90,0.09,0.0,0.0
A13,29.0,A4,A15,3.51,3.03,0.0
A11,23.0,A7,A15,0.0,0.02,0.0
A3,22.0,A6,A5,0.03,0.02,0.0
A15,23.0,A6,A7,0.4,0.1,0.0
A3,26.0,A7,A91,0.0,0.0,0.02
A12,16.0,A0,A92,0.04,0.03,0.0
A3,22.0,A6,A1,0.0,0.0,0.02
A1,30.0,A7,A93,0.0,0.0,0.02
A11,31.0,A9,A7,0.05,0.11,0.0
A16,19.0,A0,A34,3.4,1.3,0.15
A2,30.0,A4,A31,0.08,0.01,0.0
A12,16.0,A7,A51,0.01,0.01,0.0
A4,32.0,A3,A22,0.03,0.01,0.02
